"Installed renewable electricity capacity (MW) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Belgium","Onshore wind energy",14.0000,26.0000,31.0000,67.0000,96.0000,167.0000,212.0000,276.0000,324.0000,576.5000,715.5000,872.5000,989.0000,1072.3000,1236.3000,1464.0000,1657.8000,1910.3000,2082.0000,2307.9000,2419.1000,2517.8400
"Belgium","Offshore wind energy",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.5000,196.5000,196.5000,381.0000,707.7000,707.7000,712.0000,712.2000,877.2000,1185.9000,1555.5000,2261.8000,2261.8000
"Belgium","Solar",0.0000,0.0000,1.0000,1.0000,1.0000,2.0000,2.0000,20.0000,62.0000,386.0000,1006.6000,1978.6000,2646.6000,2901.6000,3015.0000,3131.6000,3328.8000,3620.6000,4000.0000,4636.6000,5574.8000,6424.8000
"Belgium","Solar photovoltaic",0.0000,0.0000,1.0000,1.0000,1.0000,2.0000,2.0000,20.0000,62.0000,386.0000,1006.6000,1978.6000,2646.6000,2901.6000,3015.0000,3131.6000,3328.8000,3620.6000,4000.0000,4636.6000,5574.8000,6424.8000
"Belgium","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Belgium","Bioenergy",115.5000,140.5000,157.0000,229.5000,246.0000,514.5000,558.0000,582.5000,695.5000,907.0000,1015.5000,1031.0000,985.5000,964.5000,913.2500,943.2000,923.3500,912.3000,886.9000,906.4500,921.7500,930.7500
"Belgium","Solid biofuels",95.5000,112.5000,124.0000,187.5000,196.0000,363.5000,405.0000,417.5000,534.5000,663.0000,766.5000,821.0000,789.5000,763.5000,681.2500,715.5000,690.9500,684.5000,651.5000,664.9500,699.6500,708.6500
"Belgium","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Belgium","Renewable municipal waste",48.5000,50.5000,67.0000,66.5000,66.0000,69.5000,98.0000,88.5000,92.5000,109.0000,126.5000,120.0000,111.5000,123.5000,123.6500,124.2000,124.6500,125.3000,125.2000,125.7500,136.1500,135.1500
"Belgium","Other solid biofuels",47.0000,62.0000,57.0000,121.0000,130.0000,294.0000,307.0000,329.0000,442.0000,554.0000,640.0000,701.0000,678.0000,640.0000,557.6000,591.3000,566.3000,559.2000,526.3000,539.2000,563.5000,573.5000
"Belgium","Liquid biofuels",0.0000,0.0000,0.0000,0.0000,0.0000,95.0000,100.0000,97.0000,73.0000,139.0000,134.0000,81.0000,55.0000,50.0000,51.0000,48.8000,44.9000,45.3000,45.2000,44.9000,23.1000,23.1000
"Belgium","Biogas",20.0000,28.0000,33.0000,42.0000,50.0000,56.0000,53.0000,68.0000,88.0000,105.0000,115.0000,129.0000,141.0000,151.0000,181.0000,178.9000,187.5000,182.5000,190.2000,196.6000,199.0000,199.0000
"Belgium","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bosnia Herzg","Total renewable energy",1508.0000,1508.0000,1508.0000,1508.1000,1538.2000,1538.3000,1538.3000,1538.3000,1568.9000,1568.9000,1698.5610,1700.5630,1701.5570,1703.4100,1718.5340,1725.4130,1775.6600,1808.3000,1885.9900,1931.4800,1953.8700,2032.4800
"Bosnia Herzg","Hydropower",1928.0000,1928.0000,1928.0000,1928.0000,1958.0000,1958.0000,1958.0000,1958.0000,1988.6000,1988.6000,2118.2610,2119.9630,2120.9080,2121.7710,2131.0680,2136.9430,2180.2400,2211.0000,2235.6000,2238.8400,2248.7900,2257.7800
"Bosnia Herzg","Renewable hydropower",1508.0000,1508.0000,1508.0000,1508.0000,1538.0000,1538.0000,1538.0000,1538.0000,1568.6000,1568.6000,1698.2610,1699.9630,1700.9080,1701.7710,1711.0680,1716.9430,1760.2400,1791.0000,1815.6000,1818.8400,1828.7900,1837.7800
"Bosnia Herzg","Pumped storage",420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000,420.0000
"Bosnia Herzg","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bosnia Herzg","Wind",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,51.0000,87.0000,87.0000,135.0000
"Bosnia Herzg","Onshore wind energy",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,51.0000,87.0000,87.0000,135.0000
"Bosnia Herzg","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bosnia Herzg","Solar",0.0000,0.0000,0.0000,0.1000,0.2000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3490,1.3390,7.1660,8.1700,14.1200,16.0000,18.1500,22.3500,34.8900,56.5100
"Bosnia Herzg","Solar photovoltaic",0.0000,0.0000,0.0000,0.1000,0.2000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3490,1.3390,7.1660,8.1700,14.1200,16.0000,18.1500,22.3500,34.8900,56.5100
"Bosnia Herzg","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bosnia Herzg","Bioenergy",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.2400,3.2900,3.1900,3.1900
"Bosnia Herzg","Solid biofuels",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,1.2200,1.1200,1.1200
"Bosnia Herzg","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bosnia Herzg","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bosnia Herzg","Other solid biofuels",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,1.2200,1.1200,1.1200
"Bosnia Herzg","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bosnia Herzg","Biogas",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.9900,2.0700,2.0700,2.0700
"Bosnia Herzg","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bulgaria","Total renewable energy",1068.0000,893.0000,1136.0000,1658.0000,1992.0000,1999.0000,2017.0000,2048.0300,2240.1000,2481.0000,2707.0000,2950.0000,4021.0000,4076.0000,4120.0000,4137.0000,4143.0000,4293.5130,4316.0270,4322.2890,4360.6670,4451.6670
"Bulgaria","Hydropower",1880.0000,1705.0000,1948.0000,2515.0000,2848.0000,2848.0000,2848.0000,2876.0000,2984.0000,3001.0000,3048.0000,3108.0000,3181.0000,3203.0000,3219.0000,3219.0000,3223.0000,3371.5500,3379.0000,3378.3500,3376.4560,3376.4560
"Bulgaria","Renewable hydropower",1016.0000,841.0000,1084.0000,1651.0000,1984.0000,1984.0000,1984.0000,2012.0000,2120.0000,2137.0000,2184.0000,2244.0000,2317.0000,2339.0000,2355.0000,2355.0000,2359.0000,2507.5500,2515.0000,2514.3500,2512.4560,2512.4560
"Bulgaria","Pumped storage",864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000,864.0000
"Bulgaria","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bulgaria","Wind",0.0000,0.0000,0.0000,0.0000,1.0000,8.0000,27.0000,30.0000,114.0000,333.0000,488.0000,541.0000,677.0000,683.0000,699.0000,699.0000,699.0000,698.3900,698.9200,703.1200,702.8000,704.8000
"Bulgaria","Onshore wind energy",0.0000,0.0000,0.0000,0.0000,1.0000,8.0000,27.0000,30.0000,114.0000,333.0000,488.0000,541.0000,677.0000,683.0000,699.0000,699.0000,699.0000,698.3900,698.9200,703.1200,702.8000,704.8000
"Bulgaria","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bulgaria","Solar",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0300,0.1000,2.0000,25.0000,154.0000,1013.0000,1020.0000,1026.0000,1029.0000,1028.0000,1035.5700,1032.6790,1047.9500,1097.3570,1186.3570
"Bulgaria","Solar photovoltaic",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0300,0.1000,2.0000,25.0000,154.0000,1013.0000,1020.0000,1026.0000,1029.0000,1028.0000,1035.5700,1032.6790,1047.9500,1097.3570,1186.3570
"Bulgaria","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bulgaria","Bioenergy",52.0000,52.0000,52.0000,7.0000,7.0000,7.0000,6.0000,6.0000,6.0000,9.0000,10.0000,11.0000,14.0000,34.0000,40.0000,54.0000,57.0000,52.0030,69.4280,56.8690,48.0540,48.0540
"Bulgaria","Solid biofuels",52.0000,52.0000,52.0000,7.0000,7.0000,7.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,14.0000,30.0000,30.0000,34.0000,19.0000,22.9730,33.0190,23.5130,15.0640,15.0640
"Bulgaria","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bulgaria","Renewable municipal waste",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Bulgaria","Other solid biofuels",52.0000,52.0000,52.0000,7.0000,7.0000,7.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,14.0000,30.0000,30.0000,34.0000,19.0000,22.9730,33.0190,23.5130,15.0640,15.0640
"Bulgaria","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
